start training tokenizer...
start trianing classifier...
Testing Accuracy: 0.8341
Validating Accuracy: 0.8468
Testing Accuracy: 0.8375
Validating Accuracy: 0.8468
Testing Accuracy: 0.8388
Validating Accuracy: 0.8440
Testing Accuracy: 0.8369
Validating Accuracy: 0.8357
Testing Accuracy: 0.8330
Validating Accuracy: 0.8217
Testing Accuracy: 0.8287
Validating Accuracy: 0.8245
Testing Accuracy: 0.8311
Validating Accuracy: 0.8301
Testing Accuracy: 0.8299
Validating Accuracy: 0.8245
Testing Accuracy: 0.8315
Validating Accuracy: 0.8245
Testing Accuracy: 0.8303
Validating Accuracy: 0.8189
Testing Accuracy: 0.8282
Validating Accuracy: 0.8357
Testing Accuracy: 0.8279
Validating Accuracy: 0.8189
Testing Accuracy: 0.8282
Validating Accuracy: 0.8245
Testing Accuracy: 0.8299
Validating Accuracy: 0.8189
Testing Accuracy: 0.8271
Validating Accuracy: 0.8496
Testing Accuracy: 0.8257
Validating Accuracy: 0.8245
Testing Accuracy: 0.8287
Validating Accuracy: 0.8217
Testing Accuracy: 0.8293
Validating Accuracy: 0.8245
Testing Accuracy: 0.8302
Validating Accuracy: 0.8273
Testing Accuracy: 0.8327
Validating Accuracy: 0.8552
